Index,Restaurant Name,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
4580,R1 Lounge,New Delhi,"North Indian, Mughlai, Chinese",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,2.6,Orange,Average,31
4581,R1 Take Away,New Delhi,"North Indian, Mughlai, Chinese",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,38
4582,Raffles,New Delhi,"Fast Food, North Indian, Chinese",800,Indian Rupees(Rs.),Yes,No,No,No,2,3.1,Orange,Average,123
4583,Raj Sweets,New Delhi,Mithai,150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,9
4584,Ramas Cafe,New Delhi,"South Indian, Chinese, North Indian",350,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,70
4585,Sandoz,New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,114
4586,Sandoz,New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,56
4587,Shudh,New Delhi,"North Indian, Chinese, South Indian",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,247
4588,Southy,New Delhi,South Indian,450,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,90
4589,Spicy by Nature,New Delhi,"North Indian, Mughlai, Chinese",900,Indian Rupees(Rs.),Yes,No,No,No,2,2.7,Orange,Average,84
4590,Spicy N Karara,New Delhi,"North Indian, Chinese, Fast Food",650,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,93
4591,Spooky Sky,New Delhi,"Italian, Chinese, North Indian",650,Indian Rupees(Rs.),No,Yes,Yes,No,2,3.4,Orange,Average,44
4592,Sri Krishna Udupi,New Delhi,South Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,27
4593,Tempting Restaurant,New Delhi,"Chinese, Mughlai, North Indian",750,Indian Rupees(Rs.),Yes,Yes,No,No,2,2.7,Orange,Average,68
4594,The Smokin' Grill by The Flashback,New Delhi,Fast Food,400,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,23
4595,Three Tuns,New Delhi,"European, Italian, Thai, Chinese, North Indian",1400,Indian Rupees(Rs.),Yes,No,No,No,3,3.2,Orange,Average,30
4596,Wah Ji Wah,New Delhi,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,69
4597,Wow! Momo,New Delhi,"Tibetan, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,41
4598,Wrap & Roll,New Delhi,"Fast Food, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,36
4599,Anjlika Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,179
4600,Bakeology,New Delhi,"Bakery, Desserts",450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,22
4601,Changezi Chicken,New Delhi,"North Indian, Mughlai",650,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,456
4602,Chargrill Resto Bar,New Delhi,"North Indian, European, South Indian",900,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.6,Yellow,Good,43
4603,Chowringhee,New Delhi,Fast Food,200,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,120
4604,Glenz Cafe N Bakers,New Delhi,"Cafe, Fast Food, Desserts",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,230
4605,Happy2Bake,New Delhi,Bakery,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,26
4606,Nazeer Foods,New Delhi,"Mughlai, North Indian",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,27
4607,Pakode Ki Dukaan,New Delhi,Street Food,50,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,35
4608,Peshawari Chicken Corner,New Delhi,North Indian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,76
4609,Prem Dhaba,New Delhi,North Indian,650,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,177
4610,Ravi Raj Di Kulfi,New Delhi,Desserts,150,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,99
4611,Shawarma King's,New Delhi,Fast Food,250,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,136
4612,Shri Rama Restaurant,New Delhi,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,72
4613,Sri Balaji,New Delhi,"South Indian, North Indian",600,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,88
4614,Standard Burfee,New Delhi,"Mithai, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,100
4615,Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,118
4616,Suruchi,New Delhi,"Gujarati, Rajasthani, North Indian, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,603
4617,Tera Hotel,New Delhi,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,149
4618,The Diet Kitchen,New Delhi,"Continental, Healthy Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,39
4619,The Spot,New Delhi,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,109
4620,Wrapss,New Delhi,"Chinese, Fast Food",350,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,214
4621,Wrapss,New Delhi,"Chinese, Fast Food",350,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,64
4622,Al Naseem Foods Shawarma,New Delhi,Fast Food,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
4623,Ganpati Bhoj,New Delhi,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
4624,Pandit Dhaba,New Delhi,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
4625,Red Chili Potato,New Delhi,Chinese,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
4626,Cafe Coffee Day,New Delhi,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,2.3,Red,Poor,32
4627,Jade Garden,New Delhi,Finger Food,1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.4,Red,Poor,52
4628,Art of Spices,New Delhi,"Fast Food, North Indian, Mughlai",500,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,841
4629,Sindhi Corner,New Delhi,Street Food,200,Indian Rupees(Rs.),No,No,No,No,1,4,Green,Very Good,74
4630,The Feast House,New Delhi,"Continental, North Indian, American, Italian, Mexican",1050,Indian Rupees(Rs.),Yes,No,No,No,3,4.3,Green,Very Good,142
4631,Zaffran,New Delhi,"North Indian, Mughlai",2000,Indian Rupees(Rs.),No,No,No,No,4,4.5,Dark Green,Excellent,524
4632,McDonald's,New Delhi,"Fast Food, Burger",500,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,132
4633,Captain Grub,New Delhi,"American, Fast Food",1000,Indian Rupees(Rs.),No,Yes,No,No,3,3.1,Orange,Average,18
4634,M:Eat by Blanco,New Delhi,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,29
4635,Omazoni,New Delhi,"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",650,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,120
4636,Prabhu Chaat Bhandar,New Delhi,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,242
4637,Sugar & Spice - Le Marche,New Delhi,"Bakery, Fast Food",800,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,89
4638,Big Chill,New Delhi,"Italian, Continental, European, Cafe",1500,Indian Rupees(Rs.),No,No,No,No,3,4.5,Dark Green,Excellent,4986
4639,Big Chill,New Delhi,"Italian, Continental, European, Cafe",1500,Indian Rupees(Rs.),No,No,No,No,3,4.6,Dark Green,Excellent,1569
4640,Amici Cafe,New Delhi,"Cafe, Pizza, Italian",1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.8,Yellow,Good,863
4641,Azam's Mughlai,New Delhi,Mughlai,600,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,157
4642,Boombox Cafe,New Delhi,"American, Italian, North Indian, Chinese, Lebanese",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good,1428
4643,Cafe Illuminatii,New Delhi,"Continental, Kashmiri, Italian, North Indian, Moroccan",2500,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.6,Yellow,Good,300
4644,Cafe Turtle,New Delhi,"Cafe, Italian, Lebanese",1000,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,574
4645,China Fare,New Delhi,Chinese,1000,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,243
4646,Chokola,New Delhi,"Cafe, Desserts, Bakery",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,391
4647,Cravings By Arshi Dhupia,New Delhi,"Bakery, Desserts, Fast Food",800,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,29
4648,Harry's Bar + Cafe,New Delhi,"Mediterranean, American, Asian",1700,Indian Rupees(Rs.),Yes,No,No,No,3,3.7,Yellow,Good,395
4649,Khan Chacha,New Delhi,"Mughlai, North Indian",650,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,2860
4650,La Bodega,New Delhi,Mexican,1700,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.6,Yellow,Good,505
4651,La Vie,New Delhi,"Italian, European",1400,Indian Rupees(Rs.),No,Yes,No,No,3,3.9,Yellow,Good,454
4652,Latitude 28,New Delhi,"American, Continental, Italian",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.8,Yellow,Good,203
4653,Laziz Kabab (Subhash Restaurant),New Delhi,Mughlai,400,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,79
4654,Mr. Choy,New Delhi,"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",1200,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,287
4655,Public Affair,New Delhi,European,2100,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,199
4656,Qureshi Kabab,New Delhi,Mughlai,450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,17
4657,Side Wok,New Delhi,"Burmese, Chinese, Japanese, Malaysian, Thai",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.9,Yellow,Good,372
4658,Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,188
4659,t Lounge by Dilmah,New Delhi,"Cafe, Tea, Desserts",800,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,34
4660,The Blue Door Cafe,New Delhi,"Italian, French, European, Cafe",1700,Indian Rupees(Rs.),Yes,No,No,No,3,3.7,Yellow,Good,774
4661,The Coffee Bean & Tea Leaf,New Delhi,Cafe,700,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,256
4662,Town Hall,New Delhi,"Japanese, Thai, Italian, Asian",2500,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,1186
4663,Wok  In The Clouds,New Delhi,"Chinese, Thai, Continental, North Indian",2000,Indian Rupees(Rs.),No,Yes,No,No,4,3.8,Yellow,Good,669
4664,Cafe Coffee Day,New Delhi,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
4665,Civil House,New Delhi,"European, Continental, Pizza",1700,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,113
4666,L'Opera,New Delhi,"Bakery, Desserts, Fast Food",400,Indian Rupees(Rs.),No,Yes,No,No,1,4,Green,Very Good,518
4667,Mamagoto,New Delhi,"Asian, Thai, Chinese",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.1,Green,Very Good,1330
4668,Out Of The Box,New Delhi,"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1550,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,1203
4669,Parallel,New Delhi,"Continental, American",2000,Indian Rupees(Rs.),Yes,No,No,No,4,4,Green,Very Good,79
4670,Perch Wine & Coffee Bar,New Delhi,"Cafe, European",2000,Indian Rupees(Rs.),No,No,No,No,4,4.2,Green,Very Good,551
4671,Smoke House Deli,New Delhi,"Italian, European, Cafe",1650,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,1093
4672,Smokey's BBQ and Grill,New Delhi,"American, European",2100,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.2,Green,Very Good,578
4673,SodaBottleOpenerWala,New Delhi,"Parsi, Iranian",1300,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,1914
4674,The Artful Baker,New Delhi,"Bakery, Fast Food",600,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,220
4675,The Big Chill Cakery,New Delhi,"Bakery, Desserts",700,Indian Rupees(Rs.),No,No,No,No,2,4.4,Green,Very Good,912
4676,The Chatter House,New Delhi,"Finger Food, Italian, North Indian",1800,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,436
4677,Amaze Dining,New Delhi,"North Indian, Chinese",1100,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average,10
4678,Amritsari Naan & Kulcha,New Delhi,North Indian,250,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,12
4679,Bangla Sweets,New Delhi,"Mithai, North Indian, South Indian, Chinese, Bakery",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,13
4680,Bj's Lounge & Cafe,New Delhi,"North Indian, Chinese",700,Indian Rupees(Rs.),Yes,Yes,No,No,2,3,Orange,Average,11
4681,BTW,New Delhi,"Street Food, South Indian, Mithai",400,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,19
4682,Cabana's Kabab & Curry's,New Delhi,"North Indian, Mughlai, Chinese",450,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,73
4683,Cafe Coffee Day,New Delhi,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,23
4684,Chaap Point,New Delhi,Fast Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,11
4685,Chicken Chilli Corner,New Delhi,"Chinese, North Indian",500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,10
4686,Chinese Dragon,New Delhi,"Chinese, Fast Food",550,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,49
4687,Copper Restro Bar,New Delhi,"North Indian, Chinese, Continental",1200,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,15
4688,Corner Sweets,New Delhi,"Mithai, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,100
4689,D'Casa,New Delhi,"North Indian, Chinese, Italian, Fast Food",1100,Indian Rupees(Rs.),Yes,No,No,No,3,2.7,Orange,Average,63
4690,Delhi 15,New Delhi,"North Indian, Mughlai, Chinese",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,2.7,Orange,Average,45
4691,Dialogue Lounge & Cafí©,New Delhi,"Cafe, Continental",750,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,4
4692,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,57
4693,Flavours From Heaven,New Delhi,"North Indian, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,12
4694,Flavours Of Biryani,New Delhi,"Biryani, Mughlai",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,35
4695,Flirty Momo's,New Delhi,Chinese,350,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,6
4696,Gedi Grill,New Delhi,"North Indian, Mughlai, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,143
4697,Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,23
4698,Indian Bites,New Delhi,"North Indian, Chinese, Continental",550,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,41
4699,Karan's Vaishno Dhaba,New Delhi,North Indian,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,29
4700,Le Swaadik,New Delhi,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,13
4701,Let's Meet Up,New Delhi,"Fast Food, Bakery",350,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,16
4702,Madan's Kabab Centre,New Delhi,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,31
4703,Midnight Fries,New Delhi,"Chinese, Italian, Fast Food",550,Indian Rupees(Rs.),No,Yes,Yes,No,2,2.7,Orange,Average,46
4704,Moradabadi Biryani,New Delhi,"Lucknowi, Biryani",300,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9
4705,Namdhari's Icecream & Bakers,New Delhi,"Desserts, Bakery, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,23
4706,Pahariya Chicken Corner,New Delhi,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
4707,Pahariya Chicken,New Delhi,North Indian,450,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,15
4708,Pappi Machhi Wala,New Delhi,North Indian,450,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,9
4709,Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,67
4710,Polka Cakes & Coffee,New Delhi,"Fast Food, Chinese, Bakery",400,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,17
4711,Punjabi Joint,New Delhi,"Mughlai, North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,4
4712,Rain Tree Grill,New Delhi,"North Indian, Chinese, Mughlai",1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.2,Orange,Average,74
4713,Resunga Food Corner,New Delhi,"Chinese, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,5
4714,Shri Ram Poori Wale,New Delhi,Street Food,50,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,8
4715,Supa's Restaurant,New Delhi,"North Indian, Chinese",800,Indian Rupees(Rs.),Yes,No,No,No,2,3.2,Orange,Average,50
4716,Swad Fast Food,New Delhi,"Chinese, South Indian",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,16
4717,Syall Kotian Da Dhaba,New Delhi,North Indian,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,20
4718,The Krib,New Delhi,"Italian, Continental",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.2,Orange,Average,14
4719,Turtle Bay,New Delhi,"North Indian, Chinese, Fast Food",1100,Indian Rupees(Rs.),Yes,No,No,No,3,3.4,Orange,Average,74
4720,Yakooz,New Delhi,"Hyderabadi, North Indian",550,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,20
4721,Above & Beyond,New Delhi,"North Indian, Chinese, Mughlai, Continental",1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,133
4722,Bawa Chicken,New Delhi,"North Indian, Mughlai, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,98
4723,Chatore,New Delhi,Street Food,250,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,26
4724,Chocomore,New Delhi,Bakery,500,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,68
4725,Clay 1 Grill,New Delhi,"North Indian, Mughlai",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.6,Yellow,Good,283
4726,Firangi Island,New Delhi,"North Indian, Chinese, Continental, Italian",1200,Indian Rupees(Rs.),Yes,No,No,No,3,3.5,Yellow,Good,21
4727,Jeet Chaat Bhandar,New Delhi,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,23
4728,Mr. Grill,New Delhi,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,55
4729,Tikka Junction,New Delhi,"North Indian, Chinese",750,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,102
4730,Momos Hut & Chinese Food,New Delhi,"Chinese, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor,20
4731,Wah Ji Wah,New Delhi,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,2.1,Red,Poor,54
4732,Yo! China,New Delhi,Chinese,800,Indian Rupees(Rs.),No,Yes,No,No,2,2.4,Red,Poor,39
4733,Aapki Apni Rasoi,New Delhi,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,6
4734,Aapki Rasoi,New Delhi,North Indian,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,15
4735,Advance Bakery,New Delhi,"Bakery, Fast Food, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,7
4736,Apni Rasoi,New Delhi,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,16
4737,Bakeyard,New Delhi,Bakery,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
4738,Bharat Chicken Inn Foods,New Delhi,Mughlai,400,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,9
4739,Bobby Veg Corner,New Delhi,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,5
4740,Brunch Point,New Delhi,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
4741,Bunty Dhaba,New Delhi,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,50
4742,Chandni Chowk Ka Sonu Parathe Wala,New Delhi,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,12
4743,Chankya,New Delhi,"North Indian, Fast Food, South Indian",500,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,79
4744,Chaudhary Di Hatti,New Delhi,"Desserts, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,20
4745,Cook Du Kdu,New Delhi,"North Indian, Chinese, Mughlai",650,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,52
4746,Daawat Restaurant,New Delhi,"North Indian, Chinese, South Indian",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,26
4747,Delhi Dairy,New Delhi,"Fast Food, North Indian, South Indian, Chinese, Bakery",350,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,11
4748,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,13
4749,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,75
4750,F 2 Pastry Shop,New Delhi,"Bakery, Fast Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,26
4751,Food Villa,New Delhi,"North Indian, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,10
4752,Goosebumps,New Delhi,"Ice Cream, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,6
4753,Gulab,New Delhi,"Mithai, North Indian",500,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,12
4754,Health Buzzz,New Delhi,Healthy Food,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,22
4755,Jain Dhaba,New Delhi,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,30
4756,Jeeta Kulfi Walle,New Delhi,Desserts,100,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,12
4757,Kamal Meat House,New Delhi,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,15
4758,Katyani Rasoi,New Delhi,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,10
4759,Magic Masala,New Delhi,"North Indian, South Indian",400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,11
4760,Masala Magic,New Delhi,"North Indian, South Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,16
4761,Mother Sweets,New Delhi,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,15
4762,Panj Taara,New Delhi,North Indian,600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,8
4763,Prince Fried N Grilled Chicken,New Delhi,North Indian,450,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,18
4764,Punjabi's Veg Grill,New Delhi,"North Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,10
4765,Raja Chat Corner,New Delhi,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,20
4766,Rajshree,New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,16
4767,Sachdeva Chicken Corner,New Delhi,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,39
4768,Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,Yes,No,No,2,2.9,Orange,Average,66
4769,Sialkot,New Delhi,North Indian,250,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
4770,Singh-O-Singh Kebabs,New Delhi,"North Indian, Mughlai",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,54
4771,Super Snacks,New Delhi,"South Indian, Fast Food, Street Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,44
4772,Tandoori Night,New Delhi,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,15
4773,The Chaupal Bar And Restaurant,New Delhi,"Chinese, North Indian",800,Indian Rupees(Rs.),Yes,No,No,No,2,2.9,Orange,Average,14
4774,The Grill Point,New Delhi,"Chinese, Mughlai, North Indian",350,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
4775,The Roll Hut,New Delhi,"Chinese, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,13
4776,Triveni,New Delhi,"North Indian, South Indian, Chinese, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,31
4777,Gokul Foods,New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,22
4778,Papa Pizza,New Delhi,"Pizza, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,21
4779,Aalishaan,New Delhi,"Chinese, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
